sort,smpl number,leaf part,teatment,genotype,position,"dry wt tissue, g","assyd pwdr, g",,initial supernt wt. extract. exclude the tube,final update supernatent. extract. weight ,supernatent wt. extract. exclude the tube,surface wash-off weight exclude the tube ,tube popped and lost debris during cook,tube+water & powder after cook & makeup,,07.19 extract PGO (glc) ug/well,7.31 extract PGO (glc) ug/well,8/10 extr PGO (glc) ug/well,8/10 extrct PGO (glc) ug/well,8.14 PGO extract  ug/well,07.19 extract  PGO+I ug/well,07.31 extract  PGO+I ug/well,07.31 extract  PGO+I+ 1 hour ug/well,8.14   PGO +I extract 'predicted ug/well,07.19 extract calc sucrose ug/well,07.31 extract calc sucrose ug/well,,07.20 surface wash PGO (glc) ug/well,07.31 surface wash PGO (glc) ug/well,8.14 PGO wash 'predicted ug/well,07.20 surface wash predicted PGO+I ug/well,07.31 surface wash predicted PGO+I ug/well,07.31 surface wash predicted PGO+I + 1 hour ug/well,8.14 PGO+i wash 'predicted ug/well,07.20 surface wash  calc sucrose ug/well,,7/19 extract glc umol/ gDW,7/31 extract glc umol/ gdw,8/10 rep1 extract glc umol/ gdw,8/10 rep 2 extract glc umol/ gdw,8/14  extract glc umol/ gdw,7/19 extract total sugr umol/ gDW,7/31 extract total umol/ gdw,8/14  extract total umol/ gdw,,7/19 wash glc umol/ gDW,7/31 wash glc umol/ gDW,8/14 wash glc umol/ gDW,7/19 wash total sugr umol/ gDW,7/31 wash total sugr umol/ gDW,8/14 wash total sugr umol/ gDW,,08.06 starch content ug/well,08.06 starch content umol/ gdw,extract avg glc umol/ gDW,extract avg total sugr umol/ gDW,extract avg suc umol/ gDW,wash avg glc umol/ gDW,wash avg total sugr umol/ gDW,wash avg suc umol/ gDW
1,32,leaf base,Control,0002,8,0.0727,0.05,,1.1290,,1.1290,0.7399,,1.942,,5.42,0.80,1.24,1.90,4.89,26.92,0.89,1.0,4.5,21.5,0.09,,3.2,1.0,0.8,13.76,0.9,1.1,1.0,10.54,,23.4,11.0,18.7,28.5,112.2,116.1,12.1,61.1,,12.3,8.7,7.2,52.6,9.6,9.3,,9.2,67.1,20.4,12.1,,,,
5,35,leaf base,Control,0002,16,0.1901,0.05,,1.1620,,1.1620,0.6654,,2.0127,,7.83,1.58,0.76,1.47,7.23,28.83,1.90,2.1,8.6,21.0,0.33,,23.7,2.8,2.5,     >>,3.1,4.1,4.2,,,13.3,8.5,2.7,5.2,49.1,186.1,10.2,46.4,,34.6,8.5,7.5,,12.7,12.9,,4.3,33.7,7.4,10.2,,,,
2,38,leaf base,Control,0002,8,0.1696,0.05,,1.1627,,1.1627,0.6928,,1.9825,,7.25,0.88,1.14,3.05,2.30,32.73,1.03,1.2,4.4,25.5,0.15,,1.6,0.2,0.6,5.72,0.2,0.3,0.7,4.12,,13.8,5.3,6.7,18.0,36.4,211.4,6.2,26.2,,2.6,0.7,2.0,9.4,1.0,2.7,,5.6,42.4,10.9,6.2,,,,
6,41,leaf base,Control,0002,16,0.2030,0.05,,1.1598,,1.1598,0.6711,,1.9431,,9.23,2.01,1.41,3.57,2.32,     >>,2.55,3.0,5.0,,0.54,,4.6,0.5,1.1,17.56,0.6,0.7,1.6,13.00,,14.6,10.1,8.6,21.8,35.8,,12.8,25.1,,6.2,1.4,3.1,24.0,2.1,4.7,,7.0,51.0,13.8,12.8,,,,
3,44,leaf base,Control,0002,8,0.1227,0.05,,1.1458,,1.1458,0.6829,,1.8211,,6.18,1.52,0.64,3.46,2.50,29.23,2.17,2.7,5.2,23.1,0.65,,2.0,0.3,0.8,10.91,0.4,0.5,0.9,8.96,,16.0,12.5,2.9,15.9,61.9,186.1,17.8,42.3,,4.4,1.3,3.9,24.7,2.3,4.5,,8.4,53.7,11.8,17.8,,,,
7,47,leaf base,Control,0002,16,0.1720,0.05,,1.1858,,1.1858,0.6894,,2.1402,,2.71,1.28,0.54,2.87,2.17,27.28,1.86,2.4,4.3,24.6,0.57,,4.2,0.4,1.5,23.07,0.6,0.7,2.1,18.87,,5.2,7.8,1.5,7.8,31.8,179.7,11.2,26.1,,6.8,1.5,5.1,37.3,2.5,7.5,,8.4,73.3,5.6,11.2,,,,
4,50,leaf base,Control,0002,8,0.1266,0.05,,1.2122,,1.2122,0.7070,,1.8936,,9.13,2.23,2.43,2.59,2.57,     >>,2.96,3.8,5.4,,0.73,,1.1,0.1,0.3,5.12,0.1,0.1,0.5,4.02,,24.3,18.7,40.8,43.6,46.1,,24.9,45.4,,2.4,0.6,1.6,11.2,0.7,2.4,,6.8,47.4,31.8,24.9,,,,
8,53,leaf base,Control,0002,16,0.1472,0.05,,1.1735,,1.1735,0.5905,,1.9451,,8.42,1.84,2.23,2.07,2.17,     >>,2.41,3.2,4.8,,0.57,,1.1,0.2,0.6,6.46,0.2,0.3,1.2,5.32,,18.6,12.9,29.8,27.5,26.8,,16.9,33.8,,2.1,0.7,2.1,12.2,1.1,4.1,,6.9,50.7,22.2,16.9,,,,
,,leaf base,Control,0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4,15.5,14.0,,,,
9,56,leaf base,STS,0002,8,0.1001,0.05,,1.1665,,1.1665,0.5891,x,1.9162,,9.28,2.58,1.85,2.14,1.38,31.84,2.93,3.4,4.1,22.6,0.35,,2.5,0.2,0.7,12.09,0.3,0.4,1.2,9.62,,30.0,26.4,30.1,34.7,26.0,206.4,29.9,42.1,,6.8,1.2,3.5,33.5,1.8,6.0,,3.4,24.5,30.3,29.9,,,,
13,59,leaf base,STS,0002,16,0.2532,0.05,,1.1704,,1.1704,0.6709,,1.9963,,8.62,2.38,1.98,1.82,2.55,28.77,3.10,3.5,4.8,20.2,0.72,,     >>,2.9,11.7,     >>,1.9,1.7,11.4,,,11.1,9.7,13.6,12.5,16.1,187.1,12.6,19.6,,,6.7,27.3,,3.9,26.6,,3.1,23.6,11.7,12.6,,,,
10,62,leaf base,STS,0002,8,0.1134,0.05,,1.4320,,1.4320,0.5958,,2.0059,,4.37,0.94,0.74,1.55,1.55,22.78,1.34,1.8,4.0,18.4,0.40,,1.6,0.2,0.5,8.44,0.2,0.3,0.9,6.82,,15.3,10.4,4.2,8.8,18.6,181.2,14.9,44.5,,4.0,0.9,2.3,20.7,1.3,4.0,,5.1,40.0,9.7,14.9,,,,
14,65,leaf base,STS,0002,16,0.1797,0.05,,1.3684,,1.3684,0.6404,,1.9733,,7.87,1.80,1.09,1.63,2.62,26.63,2.02,2.3,4.3,18.8,0.22,,5.5,0.5,1.4,24.54,0.6,0.9,2.9,19.03,,16.6,12.1,5.8,8.7,20.8,202.5,13.5,28.7,,8.5,1.6,4.3,37.9,2.7,9.1,,3.4,25.4,10.8,13.5,,,,
11,68,leaf base,STS,0002,8,0.0783,0.05,,1.3908,,1.3908,0.5428,,1.7916,,6.12,1.72,1.07,1.54,2.14,24.88,1.94,2.3,4.3,18.8,0.22,,0.5,0.1,0.4,6.23,0.1,0.1,0.6,5.68,,30.2,26.8,12.8,18.4,37.0,192.2,30.2,67.3,,1.9,0.5,2.5,22.1,0.7,3.8,,8.3,51.3,22.0,30.2,,,,
